fromnode,tonode,c
0,0,0.0000
0,1,576.9631
0,2,946.4954
0,3,597.5972
0,4,373.8127
0,5,559.7673
0,6,709.0215
0,7,1208.3280
0,8,603.6477
0,9,695.2080
0,10,680.7090
0,11,1936.5720
0,12,332.4644
0,13,592.5679
0,14,908.7715
0,15,426.1877
0,16,756.1987
0,17,672.5906
0,18,1590.2240
0,19,527.3008
1,0,576.9631
1,1,0.0000
1,2,369.5327
1,3,613.0386
1,4,429.1079
1,5,312.8831
1,6,1196.4890
1,7,1502.1400
1,8,405.8975
1,9,1241.9610
1,10,960.3459
1,11,2318.0760
1,12,786.5959
1,13,949.5669
1,14,938.7461
1,15,999.5005
1,16,179.2426
1,17,96.2744
1,18,1999.5840
1,19,210.7656
2,0,946.4954
2,1,369.5327
2,2,0.0000
2,3,858.3308
2,4,749.6018
2,5,556.0706
2,6,1541.2730
2,7,1764.7910
2,8,621.3306
2,9,1603.1650
2,10,1250.9620
2,11,2600.0780
2,12,1137.3350
2,13,1266.8510
2,14,1124.7780
2,15,1368.2670
2,16,190.3157
2,17,274.3105
2,18,2299.4290
2,19,494.2224
3,0,597.5972
3,1,613.0386
3,2,858.3308
3,3,0.0000
3,4,255.0303
3,5,311.3071
3,6,790.1213
3,7,907.4331
3,8,237.0703
3,9,932.2173
3,10,406.3386
3,11,1741.8730
3,12,485.5564
3,13,1186.8580
3,14,345.8738
3,15,830.3635
3,16,720.4687
3,17,675.3437
3,18,1447.1040
3,19,403.8657
4,0,373.8127
4,1,429.1079
4,2,749.6018
4,3,255.0303
4,4,0.0000
4,5,225.8954
4,6,794.1726
4,7,1080.3740
4,8,238.9440
4,9,879.5647
4,10,533.1560
4,11,1889.5280
4,12,402.3291
4,13,947.3188
4,14,598.5410
4,15,700.4368
4,16,578.3286
4,17,512.3965
4,18,1570.7250
4,19,255.6551
5,0,559.7673
5,1,312.8831
5,2,556.0706
5,3,311.3071
5,4,225.8954
5,5,0.0000
5,6,1009.6890
5,7,1216.8680
5,8,94.2588
5,9,1104.5740
5,10,694.9153
5,11,2047.1220
5,12,627.1150
5,13,1084.5000
5,14,626.1548
5,15,922.3181
5,16,409.3542
5,17,365.6853
5,18,1743.4320
5,19,104.6478
6,0,709.0215
6,1,1196.4890
6,2,1541.2730
6,3,790.1213
6,4,794.1726
6,5,1009.6890
6,6,0.0000
6,7,663.8762
6,8,982.7378
6,9,221.4220
6,10,447.8044
6,11,1249.7630
6,12,411.1133
6,13,1097.6080
6,14,851.8228
6,15,423.7053
6,16,1362.8740
6,17,1288.9660
6,18,895.0908
6,19,1049.2660
7,0,1208.3280
7,1,1502.1400
7,2,1764.7910
7,3,907.4331
7,4,1080.3740
7,5,1216.8680
7,6,663.8762
7,7,0.0000
7,8,1143.7910
7,9,874.5181
7,10,551.6299
7,11,841.6240
7,12,880.0728
7,13,1714.6510
7,14,694.0088
7,15,1066.5630
7,16,1625.8700
7,17,1574.8220
7,18,593.4216
7,19,1301.5110
8,0,603.6477
8,1,405.8975
8,2,621.3306
8,3,237.0703
8,4,238.9440
8,5,94.2588
8,6,982.7378
8,7,1143.7910
8,8,0.0000
8,9,1094.9060
8,10,636.9045
8,11,1978.9430
8,12,620.4880
8,13,1151.8680
8,14,535.0244
8,15,936.2502
8,16,489.5645
8,17,453.2583
8,18,1682.4890
8,19,198.9058
9,0,695.2080
9,1,1241.9610
9,2,1603.1650
9,3,932.2173
9,4,879.5647
9,5,1104.5740
9,6,221.4220
9,7,874.5181
9,8,1094.9060
9,9,0.0000
9,10,642.2092
9,11,1375.6350
9,12,477.4590
9,13,963.7202
9,14,1046.1190
9,15,305.3132
9,16,1417.0720
9,17,1337.6480
9,18,1017.3320
9,19,1125.0410
10,0,680.7090
10,1,960.3459
10,2,1250.9620
10,3,406.3386
10,4,533.1560
10,5,694.9153
10,6,447.8044
10,7,551.6299
10,8,636.9045
10,9,642.2092
10,10,0.0000
10,11,1358.2130
10,12,378.5906
10,13,1236.1920
10,14,405.0906
10,15,674.4790
10,16,1096.7120
10,17,1038.6450
10,18,1048.5390
10,19,768.1641
11,0,1936.5720
11,1,2318.0760
11,2,2600.0780
11,3,1741.8730
11,4,1889.5280
11,5,2047.1220
11,6,1249.7630
11,7,841.6240
11,8,1978.9430
11,9,1375.6350
11,10,1358.2130
11,11,0.0000
11,12,1608.0820
11,13,2335.8160
11,14,1530.5700
11,15,1661.7780
11,16,2453.3520
11,17,2396.7940
11,18,358.3762
11,19,2125.5120
12,0,332.4644
12,1,786.5959
12,2,1137.3350
12,3,485.5564
12,4,402.3291
12,5,627.1150
12,6,411.1133
12,7,880.0728
12,8,620.4880
12,9,477.4590
12,10,378.5906
12,11,1608.0820
12,12,0.0000
12,13,858.2510
12,14,700.8213
12,15,348.2725
12,16,955.6191
12,17,879.9795
12,18,1265.5730
12,19,651.1179
13,0,592.5679
13,1,949.5669
13,2,1266.8510
13,3,1186.8580
13,4,947.3188
13,5,1084.5000
13,6,1097.6080
13,7,1714.6510
13,8,1151.8680
13,9,963.7202
13,10,1236.1920
13,11,2335.8160
13,12,858.2510
13,13,0.0000
13,14,1500.7740
13,15,675.7505
13,16,1098.2820
13,17,1021.6110
13,18,1977.6130
13,19,1015.1650
14,0,908.7715
14,1,938.7461
14,2,1124.7780
14,3,345.8738
14,4,598.5410
14,5,626.1548
14,6,851.8228
14,7,694.0088
14,8,535.0244
14,9,1046.1190
14,10,405.0906
14,11,1530.5700
14,12,700.8213
14,13,1500.7740
14,14,0.0000
14,15,1039.7700
14,16,1018.3990
14,17,987.8645
14,18,1280.7370
14,19,728.3743
15,0,426.1877
15,1,999.5005
15,2,1368.2670
15,3,830.3635
15,4,700.4368
15,5,922.3181
15,6,423.7053
15,7,1066.5630
15,8,936.2502
15,9,305.3132
15,10,674.4790
15,11,1661.7780
15,12,348.2725
15,13,675.7505
15,14,1039.7700
15,15,0.0000
15,16,1178.4390
15,17,1095.6570
15,18,1304.0430
15,19,918.5615
16,0,756.1987
16,1,179.2426
16,2,190.3157
16,3,720.4687
16,4,578.3286
16,5,409.3542
16,6,1362.8740
16,7,1625.8700
16,8,489.5645
16,9,1417.0720
16,10,1096.7120
16,11,2453.3520
16,12,955.6191
16,13,1098.2820
16,14,1018.3990
16,15,1178.4390
16,16,0.0000
16,17,84.3365
16,18,2143.5650
16,19,328.7515
17,0,672.5906
17,1,96.2744
17,2,274.3105
17,3,675.3437
17,4,512.3965
17,5,365.6853
17,6,1288.9660
17,7,1574.8220
17,8,453.2583
17,9,1337.6480
17,10,1038.6450
17,11,2396.7940
17,12,879.9795
17,13,1021.6110
17,14,987.8645
17,15,1095.6570
17,16,84.3365
17,17,0.0000
17,18,2082.3160
17,19,273.4106
18,0,1590.2240
18,1,1999.5840
18,2,2299.4290
18,3,1447.1040
18,4,1570.7250
18,5,1743.4320
18,6,895.0908
18,7,593.4216
18,8,1682.4890
18,9,1017.3320
18,10,1048.5390
18,11,358.3762
18,12,1265.5730
18,13,1977.6130
18,14,1280.7370
18,15,1304.0430
18,16,2143.5650
18,17,2082.3160
18,18,0.0000
18,19,1814.8300
