fromnode,tonode,w
0,0,0
0,1,29931
0,2,13524
0,3,10221
0,4,16264
0,5,22914
0,6,18049
0,7,13639
0,8,4109
0,9,11009
0,10,13500
0,11,10311
0,12,4538
0,13,3842
0,14,181
0,15,3558
0,16,4866
0,17,4175
0,18,11579
0,19,3357
0,20,3658
0,21,5234
0,22,747
0,23,2340
0,24,577
1,0,29931
1,1,0
1,2,7910
1,3,6175
1,4,11104
1,5,15820
1,6,10019
1,7,5591
1,8,2621
1,9,6132
1,10,9267
1,11,4381
1,12,1456
1,13,1475
1,14,116
1,15,1213
1,16,2241
1,17,1447
1,18,4515
1,19,1171
1,20,2395
1,21,4641
1,22,391
1,23,1434
1,24,304
2,0,13524
2,1,7910
2,2,0
2,3,4152
2,4,5288
2,5,3866
2,6,2198
2,7,1938
2,8,670
2,9,1660
2,10,1720
2,11,1193
2,12,491
2,13,777
2,14,0
2,15,379
2,16,402
2,17,377
2,18,2841
2,19,615
2,20,495
2,21,3264
2,22,25
2,23,771
2,24,119
3,0,10221
3,1,6175
3,2,4152
3,3,0
3,4,14709
3,5,2117
3,6,1852
3,7,1709
3,8,425
3,9,782
3,10,1034
3,11,739
3,12,274
3,13,791
3,14,14
3,15,198
3,16,908
3,17,592
3,18,4007
3,19,584
3,20,913
3,21,5053
3,22,1057
3,23,5036
3,24,2012
4,0,16264
4,1,11104
4,2,5288
4,3,14709
4,4,0
4,5,9270
4,6,11599
4,7,8582
4,8,3311
4,9,5501
4,10,2636
4,11,2746
4,12,1011
4,13,1674
4,14,162
4,15,1075
4,16,1787
4,17,1995
4,18,13336
4,19,7501
4,20,8053
4,21,5564
4,22,1194
4,23,7324
4,24,645
5,0,22914
5,1,15820
5,2,3866
5,3,2117
5,4,9270
5,5,0
5,6,17300
5,7,6323
5,8,2915
5,9,11333
5,10,9105
5,11,3044
5,12,859
5,13,774
5,14,141
5,15,1287
5,16,1152
5,17,934
5,18,3510
5,19,1632
5,20,5830
5,21,967
5,22,95
5,23,332
5,24,86
6,0,18049
6,1,10019
6,2,2198
6,3,1852
6,4,11599
6,5,17300
6,6,0
6,7,15503
6,8,8931
6,9,12848
6,10,4377
6,11,3095
6,12,788
6,13,1325
6,14,99
6,15,2135
6,16,4138
6,17,2551
6,18,5286
6,19,2327
